Names,Players,Year,Month,Day,Age_2008
Ravi Bishnoi,Bowler,2000,September,5,8
RD Chahar,Bowler,1999,August,4,9
RD Gaikwad,Batter,1997,January,31,11
RE Levi,Batter,1988,January,14,20
RE van der Merwe,All_Rounder,1984,December,31,24
RG More,Bowler,1992,February,2,16
RG Sharma,Batter,1987,April,30,21
RJ Harris,Bowler,1979,October,11,29
RJ Peterson,All_Rounder,1979,August,4,29
RJ Quiney,Batter,1982,August,20,26
RK Bhui,Batter,1996,September,29,12
RK Singh,Batter,1997,October,12,11
RM Patidar,Batter,1993,June,1,15
RN ten Doeschate,All_Rounder,1980,June,30,28
RP Meredith,Bowler,1996,June,21,12
RP Singh,Bowler,1985,December,6,23
RR Bhatkal,All_Rounder,1985,September,1,23
RR Bose,Bowler,1979,February,17,29
RR Pant,Batter,1997,October,4,11
RR Powar,Bowler,1978,May,20,30
RR Raje,Bowler,1986,September,3,22
RR Rossouw,Batter,1989,October,9,19
RR Sarwan,Batter,1980,June,23,28
RS Bopara,All_Rounder,1985,May,4,23
RS Gavaskar,Batter,1976,February,20,32
RS Sodhi,All_Rounder,1980,October,18,28
RT Ponting,Batter,1974,Decenber,19,34
RV Gomez,All_Rounder,1985,October,16,23
RV Patel,Batter,1991,August,4,17
RV Uthappa,All_Rounder,1985,November,11,23
RW Price,Bowler,1976,June,12,32
S Anirudha,Batter,1987,April,14,21
S Aravind,Bowler,1984,April,8,24
S Badree,Bowler,1981,March,8,27
S Badrinath,Batter,1980,August,30,28
S Chanderpaul,Batter,1974,August,16,34
S Dhawan,Batter,1985,December,5,23
S Dube,Batter,1993,June,26,15
S Gopal,All_Rounder,1993,September,4,15
S Kaul,Bowler,1990,May,19,18
S Kaushik,Bowler,1995,September,7,13
S Ladda,Bowler,1986,July,10,22
S Lamichhane,Bowler,2000,August,2,8
S Midhun,Bowler,1994,October,7,14
S Nadeem,All_Rounder,1989,August,12,19
S Narwal,Bowler,1982,April,16,26
S Rana,Batter,1994,February,18,14
S Randiv,All_Rounder,1985,January,30,23
S Sandeep Warrier,Bowler,1991,April,4,17
S Sohal,Batter,1987,November,10,21
S Sreesanth,Bowler,1983,February,6,25
S Sriram,Batter,1976,February,21,32
S Tyagi,Bowler,1987,September,17,21
S Vidyut,Batter,1981,December,3,27
SA Abbott,All_Rounder,1987,June,18,21
SA Asnodkar,Batter,1984,March,29,24
SA Yadav,Batter,1990,September,14,18
Sachin Baby,Batter,1988,December,18,20
Salman Butt,Batter,1984,October,7,24
Sandeep Sharma,Bowler,1993,May,18,15
SB Bangar,All_Rounder,1972,October,11,36
SB Jakati,Bowler,1980,November,27,28
SB Joshi,All_Rounder,1970,June,6,38
SB Styris,All_Rounder,1985,July,10,23
SB Wagh,Bowler,1988,October,9,20
SC Ganguly,Batter,1972,july,8,36
SC Kuggeleijn,Bowler,1992,January,3,16
SD Chitnis,All_Rounder,1987,May,6,21
SD Lad,Batter,1992,May,23,16
SE Bond,Bowler,1975,June,7,33
SE Marsh,Batter,1983,July,9,25
SE Rutherford,Batter,1998,August,15,10
Shahbaz Ahmed,All_Rounder,1994,December,11,14
